token_ID,filename,category,word,POS,rel
2501,brainiac_female,you,other,have,VERB,nsubj
2510,brainiac_female,people,other,will,VERB,nsubj
2538,brainiac_female,person,other,smartest,ADJ,amod
2561,brainiac_female,person,other,smartest,ADJ,amod
2591,brainiac_female,everyone,other,loves,VERB,nsubj
2617,brainiac_female,kid,other,smartest,ADJ,amod
2781,brainiac_female,professor,other,meets,VERB,dobj
2874,brainiac_female,friends,other,been,VERB,nsubj
2887,brainiac_female,friends,other,know,VERB,nsubj
2939,brainiac_female,friends,other,has,VERB,dobj
3043,brainiac_female,person,other,only,ADJ,amod
3186,brainiac_female,teacher,other,harder,ADJ,amod
3225,brainiac_female,friends,other,ask,VERB,nsubj
3270,brainiac_female,english,white,speak,VERB,dobj
3328,brainiac_female,parents,other,let,VERB,nsubj
3351,brainiac_female,peers,other,wanted,VERB,nsubj
3365,brainiac_female,hers,women,use,VERB,dobj
3407,brainiac_female,teachers,other,are,VERB,nsubj
3435,brainiac_female,woman,women,was,VERB,nsubj
3443,brainiac_female,woman,women,figure,VERB,nsubj
3454,brainiac_female,woman,women,groundbreaking,VERB,nsubj
3587,brainiac_female,professors,other,impressed,VERB,nsubjpass
3608,brainiac_female,students,other,sought,VERB,amod
3697,brainiac_female,people,other,ask,VERB,nsubj
3780,brainiac_female,person,other,smartest,ADJ,amod
3805,brainiac_female,people,other,few,ADJ,amod
3895,brainiac_female,writer,other,great,ADJ,amod
3905,brainiac_female,genius,other,use,VERB,dobj
3908,brainiac_female,others,other,help,VERB,dobj
3921,brainiac_female,man,men,was,VERB,nsubj
3931,brainiac_female,man,men,solve,VERB,nsubj
3947,brainiac_female,people,other,is,VERB,nsubj
3959,brainiac_female,person,other,smartest,ADJ,amod
4058,brainiac_female,genius,other,met,VERB,dobj
4066,brainiac_female,him,men,help,VERB,dobj
4085,brainiac_female,genius,other,did,VERB,nsubj
4134,brainiac_female,friends,other,super,ADJ,amod
4136,brainiac_female,friends,other,hanging,VERB,nsubj
4304,brainiac_female,people,other,understand,VERB,nsubj
4312,brainiac_female,inventor,other,brilliant,ADJ,amod
4365,brainiac_female,classmates,other,are,VERB,nsubj
4429,brainiac_female,friend,other,good,ADJ,amod
4443,brainiac_female,people,other,laugh,VERB,nsubj
4450,brainiac_female,people,other,help,VERB,dobj
4454,brainiac_female,people,other,helping,VERB,dobj
4459,brainiac_female,people,other,can,VERB,nsubj
4506,brainiac_female,people,other,seek,VERB,nsubj
4554,brainiac_female,parents,other,pushing,VERB,nsubj
4604,brainiac_female,others,other,helping,VERB,dobj
4999,brainiac_female,brother,men,older,ADJ,amod
5000,brainiac_female,brother,men,says,VERB,nsubj
5043,brainiac_female,person,other,smartest,ADJ,amod
5072,brainiac_female,parents,other,come,VERB,nsubj
5115,brainiac_female,town,other,small,ADJ,amod
5353,brainiac_female,person,other,only,ADJ,amod
5395,brainiac_female,sister,women,big,ADJ,amod
5400,brainiac_female,brother,men,older,ADJ,amod
5430,brainiac_female,he,men,is,VERB,nsubj
5442,brainiac_female,others,other,help,VERB,dobj
5446,brainiac_female,parents,other,were,VERB,nsubj
5456,brainiac_female,he,men,encouraged,VERB,dobj
5459,brainiac_female,he,men,'s,VERB,nsubj
5463,brainiac_female,he,men,was,VERB,nsubj
5473,brainiac_female,he,men,'s,VERB,nsubj
5481,brainiac_female,family,other,is,VERB,nsubj
5495,brainiac_female,he,men,’s,VERB,nsubj
5718,brainiac_female,people,other,come,VERB,nsubj
5755,brainiac_female,individual,other,ambitious,ADJ,amod
5777,brainiac_female,student,other,other,ADJ,amod
5778,brainiac_female,student,other,have,VERB,nsubj
5920,brainiac_female,friends,other,joke,VERB,nsubj
5994,brainiac_female,friends,other,know,VERB,nsubj
6024,brainiac_female,people,other,most,ADJ,amod
6025,brainiac_female,people,other,annoyed,VERB,nsubjpass
6050,brainiac_female,person,other,smartest,ADJ,amod
6077,brainiac_female,people,other,turned,VERB,nsubj
6092,brainiac_female,people,other,help,VERB,dobj
6116,brainiac_female,woman,women,was,VERB,nsubj
6138,brainiac_female,girl,women,young,ADJ,amod
6166,brainiac_female,mother,women,been,VERB,nsubj
6181,brainiac_female,parents,other,were,VERB,nsubj
6190,brainiac_female,parents,other,encouraged,VERB,nsubj
6212,brainiac_female,he,men,gets,VERB,nsubj
6217,brainiac_female,he,men,be,VERB,nsubj
6233,brainiac_female,he,men,gets,VERB,nsubj
6249,brainiac_female,he,men,grades,VERB,nsubj
6269,brainiac_female,he,men,is,VERB,nsubj
6368,brainiac_female,life,other,normal,ADJ,amod
6410,brainiac_female,sister,women,has,VERB,dobj
6542,brainiac_female,talker,other,big,ADJ,amod
6597,brainiac_female,she,women,was,VERB,nsubj
6602,brainiac_female,she,women,solve,VERB,nsubj
6620,brainiac_female,parents,other,had,VERB,nsubj
6634,brainiac_female,she,women,became,VERB,nsubj
6649,brainiac_female,she,women,accepted,VERB,nsubjpass
6665,brainiac_female,she,women,is,VERB,nsubj
6709,brainiac_female,team,other,interesting,ADJ,nsubj
6730,brainiac_female,anyone,other,say,VERB,nsubj
6747,brainiac_female,adult,other,achieving,VERB,amod
6782,brainiac_female,man,men,looking,VERB,nsubj
6798,brainiac_female,man,men,improve,VERB,dobj
6807,brainiac_female,man,men,learning,VERB,nsubj
6849,brainiac_female,agent,other,finds,VERB,nsubj
6853,brainiac_female,agent,other,was,VERB,nsubj
6877,brainiac_female,agent,other,was,VERB,nsubj
6890,brainiac_female,agent,other,make,VERB,dobj
6892,brainiac_female,agent,other,vulnerable,ADJ,amod
6921,brainiac_female,athlete,other,gifted,ADJ,amod
6970,brainiac_female,village,other,small,ADJ,amod
6982,brainiac_female,you,other,'re,VERB,nsubj
6985,brainiac_female,woman,women,grown,ADJ,amod
7002,brainiac_female,writer,other,gifted,ADJ,amod
7239,brainiac_female,them,other,solve,VERB,dobj
7247,brainiac_female,researcher,other,brilliant,ADJ,amod
7333,brainiac_female,life,other,devotes,VERB,dobj
7362,brainiac_female,anyone,other,said,VERB,nsubj
7530,brainiac_female,scientist,other,renowned,ADJ,amod
7566,brainiac_female,woman,women,was,VERB,nsubj
7576,brainiac_female,woman,women,solve,VERB,nsubj
7597,brainiac_female,woman,women,coming,VERB,nsubj
7630,brainiac_female,friends,other,takes,VERB,dobj
7747,brainiac_female,people,other,few,ADJ,amod
7752,brainiac_female,everyone,other,outshine,VERB,dobj
7826,brainiac_female,kid,other,great,ADJ,amod
7859,brainiac_female,family,other,tries,VERB,nsubj
7866,brainiac_female,life,other,rekindle,VERB,dobj
7910,brainiac_female,you,other,want,VERB,nsubj
8037,brainiac_female,teens,other,other,ADJ,amod
8110,brainiac_female,hers,women,looking,VERB,nsubj
8257,brainiac_female,kids,other,other,ADJ,amod
8258,brainiac_female,kids,other,could,VERB,nsubj
8322,brainiac_female,parents,other,are,VERB,nsubj
8372,brainiac_female,life,other,spent,VERB,dobj
8395,brainiac_female,girl,women,meets,VERB,dobj
8412,brainiac_female,genius,other,meets,VERB,dobj
8435,brainiac_female,woman,women,was,VERB,nsubj
8484,brainiac_female,scientist,other,famous,ADJ,amod
8584,brainiac_female,kids,other,other,ADJ,amod
8658,brainiac_female,girl,women,was,VERB,nsubj
8718,brainiac_female,woman,women,looking,VERB,nsubj
8760,brainiac_female,people,other,is,VERB,nsubj
8840,brainiac_female,man,men,is,VERB,nsubj
8879,brainiac_female,sister,women,is,VERB,nsubj
8909,brainiac_female,someone,other,watching,VERB,nsubj
9008,brainiac_female,classes,other,reading,VERB,dobj
9054,brainiac_female,person,other,smartest,ADJ,amod
9071,brainiac_female,woman,women,was,VERB,nsubj
9091,brainiac_female,others,other,help,VERB,dobj
9124,brainiac_female,friends,other,looking,VERB,nsubj
9205,brainiac_female,friends,other,come,VERB,nsubj
9231,brainiac_female,people,other,other,ADJ,amod
9253,brainiac_female,people,other,most,ADJ,amod
9267,brainiac_female,he,men,wants,VERB,nsubj
9275,brainiac_female,people,other,smartest,ADJ,amod
9276,brainiac_female,people,other,find,VERB,dobj
9283,brainiac_female,people,other,smartest,ADJ,amod
9314,brainiac_female,he,men,said,VERB,nsubj
9385,brainiac_female,woman,women,is,VERB,nsubj
9439,brainiac_female,individual,other,other,ADJ,amod
9440,brainiac_female,individual,other,intelligent,ADJ,amod
9449,brainiac_female,others,other,happy,ADJ,nsubj
9455,brainiac_female,group,other,come,VERB,nsubj
9514,brainiac_female,person,other,smartest,ADJ,amod
9592,brainiac_female,parents,other,sent,VERB,nsubj
9650,brainiac_female,friends,other,come,VERB,nsubj
9668,brainiac_female,friends,other,help,VERB,dobj
9739,brainiac_female,kids,other,smartest,ADJ,amod
9778,brainiac_female,adults,other,other,ADJ,amod
9779,brainiac_female,adults,other,think,VERB,nsubj
9832,brainiac_female,people,other,most,ADJ,amod
9897,brainiac_female,town,other,small,ADJ,amod
9902,brainiac_female,he,men,is,VERB,nsubj
9905,brainiac_female,brother,men,younger,ADJ,amod
9915,brainiac_female,he,men,'s,VERB,nsubj
9917,brainiac_female,twin,other,biological,ADJ,amod
9935,brainiac_female,he,men,is,VERB,nsubj
9945,brainiac_female,you,other,ask,VERB,nsubj
9951,brainiac_female,he,men,wants,VERB,nsubj
9954,brainiac_female,he,men,has,VERB,nsubj
10039,brainiac_female,student,other,gifted,ADJ,amod
10043,brainiac_female,musician,other,gifted,ADJ,amod
10175,brainiac_female,woman,women,is,VERB,nsubj
10189,brainiac_female,somebody,other,needs,VERB,dobj
10192,brainiac_female,him,men,kick,VERB,dobj
10198,brainiac_female,him,men,is,VERB,nsubj
10205,brainiac_female,him,men,ends,VERB,nsubj
10219,brainiac_female,him,men,was,VERB,nsubj
10237,brainiac_female,him,men,get,VERB,nsubj
10246,brainiac_female,him,men,had,VERB,nsubj
10254,brainiac_female,bosses,other,respected,VERB,nsubj
10256,brainiac_female,him,men,respected,VERB,dobj
10259,brainiac_female,him,men,was,VERB,nsubj
10271,brainiac_female,officer,other,top,ADJ,amod
10272,brainiac_female,officer,other,secret,ADJ,amod
10329,brainiac_female,people,other,went,VERB,nsubj
10335,brainiac_female,people,other,needed,VERB,nsubj
10349,brainiac_female,person,other,smartest,ADJ,amod
10385,brainiac_female,girl,women,little,ADJ,amod
10457,brainiac_female,children,other,younger,ADJ,amod
10539,brainiac_female,teachers,other,mr,VERB,dobj
10570,brainiac_female,man,men,was,VERB,nsubj
10661,brainiac_female,writer,other,good,ADJ,amod
10667,brainiac_female,student,other,straight,ADJ,amod
10782,brainiac_female,town,other,small,ADJ,amod
10793,brainiac_female,parents,other,were,VERB,nsubj
10845,brainiac_female,life,other,social,ADJ,amod
10863,brainiac_female,girl,women,good,ADJ,amod
10874,brainiac_female,girls,women,other,ADJ,amod
10975,brainiac_female,sister,women,is,VERB,nsubj
10980,brainiac_female,sister,women,are,VERB,nsubj
10984,brainiac_female,adults,other,only,ADJ,amod
11015,brainiac_female,you,other,call,VERB,nsubj
11025,brainiac_female,nephew,men,startle,VERB,dobj
11029,brainiac_female,nephew,men,feel,VERB,nsubj
11060,brainiac_female,he,men,coming,VERB,nsubj
11076,brainiac_female,he,men,helping,VERB,nsubj
11080,brainiac_female,others,other,learn,VERB,nsubj
11089,brainiac_female,he,men,is,VERB,nsubj
11098,brainiac_female,he,men,know,VERB,dobj
11111,brainiac_female,man,men,was,VERB,nsubj
11121,brainiac_female,man,men,do,VERB,nsubj
11130,brainiac_female,man,men,is,VERB,nsubj
11283,brainiac_female,them,other,recommend,VERB,dobj
11349,brainiac_female,man,men,looking,VERB,nsubj
11366,brainiac_female,man,men,loves,VERB,nsubj
11556,brainiac_female,others,other,help,VERB,dobj
11576,brainiac_female,others,other,said,VERB,nsubj
11614,brainiac_female,people,other,think,VERB,nsubj
11626,brainiac_female,kids,other,other,ADJ,amod
11708,brainiac_female,player,other,other,ADJ,amod
11709,brainiac_female,player,other,beat,VERB,dobj
11798,brainiac_female,student,other,best,ADJ,amod
11834,brainiac_female,boy,men,teased,VERB,nsubjpass
11854,brainiac_female,boy,men,trying,VERB,nsubj
11864,brainiac_female,friend,other,best,ADJ,amod
11869,brainiac_female,boy,men,trying,VERB,nsubj
11918,brainiac_female,participant,other,active,ADJ,amod
11982,brainiac_female,friends,other,ask,VERB,nsubj
11990,brainiac_female,employee,other,former,ADJ,amod
11991,brainiac_female,employee,other,said,VERB,nsubj
12021,brainiac_female,officer,other,good,ADJ,amod
12022,brainiac_female,officer,other,eye.”a,ADJ,amod
12023,brainiac_female,officer,other,former,ADJ,amod
12025,brainiac_female,officer,other,has,VERB,dobj
12041,brainiac_female,people,other,most,ADJ,amod
12042,brainiac_female,people,other,be,VERB,nsubj
12064,brainiac_female,woman,women,’m,VERB,dobj
12070,brainiac_female,woman,women,met,VERB,dobj
12083,brainiac_female,husband,men,groundbreaking.“my,NOUN,amod
12120,brainiac_female,she,women,been,VERB,nsubj
12138,brainiac_female,musician,other,good,ADJ,amod
12219,brainiac_female,family,other,rich,ADJ,amod
12337,brainiac_female,kids,other,smartest,ADJ,amod
12360,brainiac_female,people,other,understand,VERB,dobj
12381,brainiac_female,people,other,normal,ADJ,amod
12447,brainiac_female,woman,women,is,VERB,nsubj
12457,brainiac_female,woman,women,is,VERB,nsubj
12543,brainiac_female,teachers,other,be,VERB,nsubj
12653,brainiac_female,parents,other,are,VERB,nsubj
12692,brainiac_female,mother,women,is,VERB,nsubj
12710,brainiac_female,anyone,other,realizes,VERB,nsubj
12732,brainiac_female,reader,other,avid,ADJ,amod
12916,brainiac_female,woman,women,intelligent,ADJ,amod
12977,brainiac_female,person,other,particular,ADJ,amod
12978,brainiac_female,person,other,sees,VERB,dobj
13008,brainiac_female,children,other,other,ADJ,amod
13014,brainiac_female,girl,women,loving,ADJ,amod
13015,brainiac_female,girl,women,little,ADJ,amod
13044,brainiac_female,student,other,understand,VERB,dobj
13185,brainiac_female,woman,women,was,VERB,nsubj
13227,brainiac_female,friends,other,come,VERB,nsubj
13246,brainiac_female,friends,other,help,VERB,dobj
13270,brainiac_female,people,other,other,ADJ,amod
13271,brainiac_female,people,other,smart,ADJ,amod
13292,brainiac_female,brother,men,is,VERB,nsubj
13465,brainiac_female,friends,other,seek,VERB,nsubj
13511,brainiac_female,family,other,wealthy,ADJ,amod
13547,brainiac_female,you,other,warn,VERB,dobj
13585,brainiac_female,friends,other,has,VERB,dobj
13613,brainiac_female,everyone,other,loves,VERB,dobj
13746,brainiac_female,kids,other,other,ADJ,amod
13747,brainiac_female,kids,other,stop,VERB,nsubj
13755,brainiac_female,kids,other,other,ADJ,amod
13778,brainiac_female,kids,other,other,ADJ,amod
13779,brainiac_female,kids,other,help,VERB,dobj
13825,brainiac_female,people,other,smartest,ADJ,amod
13928,brainiac_female,candidate,other,perfect,ADJ,amod
13956,brainiac_female,classmates,other,let,VERB,nsubj
13985,brainiac_female,person,other,other,ADJ,amod
14022,brainiac_female,people,other,come,VERB,nsubj
14093,brainiac_female,people,other,read,VERB,dobj
14119,brainiac_female,person,other,smartest,ADJ,amod
14125,brainiac_female,everyone,other,is,VERB,nsubj
14167,brainiac_female,woman,women,is,VERB,nsubj
14211,brainiac_female,negotiator,other,skilled,ADJ,amod
14243,brainiac_female,people,other,handling,VERB,dobj
14356,brainiac_female,everyone,other,is,VERB,nsubj
14390,brainiac_female,parents,other,were,VERB,nsubj
14455,brainiac_female,wife,women,gets,VERB,nsubj
14508,brainiac_female,physicist,other,theoretical,ADJ,amod
14744,brainiac_female,people,other,is,VERB,nsubj
14774,brainiac_female,friends,other,ask,VERB,nsubj
14894,brainiac_female,people,other,laugh,VERB,nsubj
14939,brainiac_female,people,other,other,ADJ,amod
15065,brainiac_female,detective,other,accomplished,ADJ,amod
15171,brainiac_female,athlete,other,gifted,ADJ,amod
15190,brainiac_female,researcher,other,dedicated,ADJ,amod
15224,brainiac_female,scientist,other,renowned,ADJ,amod
15233,brainiac_female,writer,other,gifted,ADJ,amod
15353,brainiac_female,woman,women,was,VERB,nsubj
15363,brainiac_female,woman,women,solve,VERB,nsubj
15383,brainiac_female,people,other,come,VERB,nsubj
15463,brainiac_female,man,men,is,VERB,nsubj
15521,brainiac_female,others,other,could,VERB,nsubj
15564,brainiac_female,committee,other,scientific,ADJ,amod
15565,brainiac_female,committee,other,advisory,ADJ,amod
15572,brainiac_female,children,other,assists,VERB,dobj
15598,brainiac_female,you,other,tells,VERB,dobj
15607,brainiac_female,you,other,know,VERB,nsubj
15611,brainiac_female,you,other,used,VERB,nsubjpass
15645,brainiac_female,he,men,wants,VERB,nsubj
15669,brainiac_female,someone,other,gives,VERB,nsubj
15756,brainiac_female,genius,other,was,VERB,nsubj
15966,brainiac_female,worker,other,hard,ADJ,amod
15977,brainiac_female,people,other,other,ADJ,amod
15986,brainiac_female,wife,women,calls,VERB,nsubj
15990,brainiac_female,wife,women,calls,VERB,dobj
15999,brainiac_female,wife,women,is,VERB,nsubj
16008,brainiac_female,wife,women,is,VERB,nsubj
16058,brainiac_female,you,other,solve,VERB,nsubj
16205,brainiac_female,family,other,entire,ADJ,amod
16213,brainiac_female,child,other,first,ADJ,amod
16221,brainiac_female,musician,other,good,ADJ,amod
16280,brainiac_female,child,other,first,ADJ,amod
16293,brainiac_female,parents,other,were,VERB,nsubj
16370,brainiac_female,people,other,seek,VERB,nsubj
16415,brainiac_female,people,other,other,ADJ,amod
16455,brainiac_female,person,other,only,ADJ,amod
16484,brainiac_female,everyone,other,was,VERB,nsubj
16496,brainiac_female,kids,other,other,ADJ,amod
16555,brainiac_female,you,other,tell,VERB,nsubj
16619,brainiac_female,everyone,other,be,VERB,nsubj
16629,brainiac_female,teacher,other,amazing,ADJ,amod
16633,brainiac_female,you,other,imagine,VERB,nsubj
16642,brainiac_female,child,other,was,VERB,nsubj
16723,brainiac_female,colleagues,other,came,VERB,nsubj
16742,brainiac_female,woman,women,is,VERB,nsubj
16788,brainiac_female,girl,women,lonely,ADJ,amod
16790,brainiac_female,girl,women,scared,ADJ,amod
16792,brainiac_female,girl,women,broken,ADJ,amod
16798,brainiac_female,friends,other,has,VERB,dobj
16815,brainiac_female,family,other,love,VERB,dobj
16835,brainiac_female,boy,men,young,ADJ,amod
16838,brainiac_female,he,men,was,VERB,nsubj
16847,brainiac_female,he,men,aced,VERB,nsubj
16851,brainiac_female,he,men,took,VERB,nsubj
16859,brainiac_female,he,men,'s,VERB,nsubj
16866,brainiac_female,parents,other,needed,VERB,nsubj
16879,brainiac_female,he,men,taking,VERB,nsubj
16885,brainiac_female,he,men,was,VERB,nsubj
16890,brainiac_female,he,men,was,VERB,nsubj
16905,brainiac_female,he,men,didn,VERB,nsubj
16947,brainiac_female,woman,women,looking,VERB,nsubj
16962,brainiac_female,woman,women,loves,VERB,nsubj
16976,brainiac_female,woman,women,gets,VERB,nsubj
16997,brainiac_female,woman,women,has,VERB,nsubj
17016,brainiac_female,girl,women,smartest,ADJ,amod
17091,brainiac_female,parents,other,tell,VERB,nsubj
17165,brainiac_female,thinker,other,great,ADJ,amod
17178,brainiac_female,people,other,most,ADJ,amod
17217,brainiac_female,woman,women,looking,VERB,nsubj
17241,brainiac_female,physicist,other,theoretical,ADJ,amod
17254,brainiac_female,student,other,top,ADJ,amod
17268,brainiac_female,individual,other,gifted,ADJ,amod
17372,brainiac_female,family,other,encouraged,VERB,nsubj
17596,brainiac_female,woman,women,was,VERB,nsubj
17606,brainiac_female,woman,women,understand,VERB,nsubj
17620,brainiac_female,woman,women,was,VERB,nsubj
17630,brainiac_female,woman,women,looked,VERB,nsubj
17735,brainiac_female,person,other,smartest,ADJ,amod
17830,brainiac_female,person,other,smartest,ADJ,amod
17844,brainiac_female,friends,other,making,VERB,dobj
17860,brainiac_female,woman,women,looking,VERB,nsubj
17877,brainiac_female,woman,women,is,VERB,nsubj
17905,brainiac_female,parents,other,divorced,VERB,nsubj
17946,brainiac_female,woman,women,is,VERB,nsubj
18009,brainiac_female,people,other,other,ADJ,amod
18070,brainiac_female,kids,other,taking,VERB,dobj
18074,brainiac_female,kids,other,are,VERB,nsubj
18086,brainiac_female,person,other,big,ADJ,amod
18111,brainiac_female,lady,women,nice,ADJ,amod
18218,brainiac_female,parents,other,were,VERB,nsubj
18231,brainiac_female,parents,other,put,VERB,nsubj
18264,brainiac_female,woman,women,was,VERB,nsubj
18274,brainiac_female,woman,women,do,VERB,nsubj
18283,brainiac_female,woman,women,put,VERB,nsubj
18290,brainiac_female,woman,women,put,VERB,dobj
18323,brainiac_female,friends,other,good,ADJ,amod
18341,brainiac_female,boy,men,shy,ADJ,amod
18366,brainiac_female,boy,men,normal,ADJ,amod
18370,brainiac_female,boy,men,normal,ADJ,amod
18383,brainiac_female,people,other,most,ADJ,amod
18384,brainiac_female,people,other,know,VERB,nsubj
18661,brainiac_female,lawyer,other,practicing,VERB,amod
18689,brainiac_female,person,other,smartest,ADJ,amod
18768,brainiac_female,woman,women,is,VERB,nsubj
18779,brainiac_female,you,other,know,VERB,nsubj
18869,brainiac_female,kid,other,smartest,ADJ,amod
18878,brainiac_female,parents,other,were,VERB,nsubj
18888,brainiac_female,parents,other,saw,VERB,nsubj
18910,brainiac_female,parents,other,gave,VERB,nsubj
18918,brainiac_female,parents,other,told,VERB,nsubj
18928,brainiac_female,kids,other,other,ADJ,amod
18929,brainiac_female,kids,other,do,VERB,nsubj
19055,brainiac_female,girl,women,popular,ADJ,amod
19065,brainiac_female,students,other,solve,VERB,nsubj
19079,brainiac_female,woman,women,was,VERB,nsubj
19089,brainiac_female,woman,women,do,VERB,nsubj
19098,brainiac_female,woman,women,put,VERB,nsubj
19105,brainiac_female,woman,women,put,VERB,dobj
19115,brainiac_female,woman,women,is,VERB,nsubj
47,brainiac_male,friends,other,are,VERB,nsubj
68,brainiac_male,man,men,was,VERB,nsubj
82,brainiac_male,man,men,was,VERB,nsubj
127,brainiac_male,friends,other,closest,ADJ,amod
230,brainiac_male,boy,men,little,ADJ,amod
246,brainiac_male,household,other,small,ADJ,amod
505,brainiac_male,woman,women,looking,VERB,nsubj
519,brainiac_male,woman,women,improve,VERB,dobj
528,brainiac_male,woman,women,researching,VERB,nsubj
542,brainiac_male,woman,women,looking,VERB,nsubj
561,brainiac_male,woman,women,is,VERB,nsubj
577,brainiac_male,town,other,small,ADJ,amod
684,brainiac_male,parents,other,raised,VERB,nsubj
694,brainiac_male,children,other,raised,VERB,dobj
701,brainiac_male,you,other,thank,VERB,dobj
788,brainiac_male,people,other,come,VERB,nsubj
799,brainiac_male,she,women,comes,VERB,nsubj
804,brainiac_male,she,women,plays,VERB,nsubj
813,brainiac_male,she,women,loves,VERB,nsubj
910,brainiac_male,them,other,give,VERB,dobj
914,brainiac_male,brother,men,older,ADJ,amod
935,brainiac_male,actor,other,says,VERB,nsubj
965,brainiac_male,everyone,other,knew,VERB,nsubj
986,brainiac_male,people,other,come,VERB,nsubj
1078,brainiac_male,man,men,was,VERB,nsubj
1088,brainiac_male,man,men,solve,VERB,nsubj
1109,brainiac_male,man,men,was,VERB,nsubj
1119,brainiac_male,people,other,help,VERB,dobj
1172,brainiac_male,friend,other,comes,VERB,nsubj
1273,brainiac_male,others,other,ca,VERB,nsubj
1332,brainiac_male,they,other,were,VERB,nsubj
1340,brainiac_male,they,other,come,VERB,nsubj
1391,brainiac_male,student,other,busy,ADJ,amod
1393,brainiac_male,student,other,studying,VERB,nsubj
1400,brainiac_male,people,other,toughest,ADJ,amod
1457,brainiac_male,them,other,cause,VERB,dobj
1470,brainiac_male,people,other,treat,VERB,nsubj
1485,brainiac_male,people,other,other,ADJ,amod
1499,brainiac_male,coworkers,other,feel,VERB,nsubj
1525,brainiac_male,you,other,doing,VERB,nsubj
1530,brainiac_male,you,other,got,VERB,nsubj
1533,brainiac_male,boys,men,got,VERB,dobj
1702,brainiac_male,scientists,other,respected,ADJ,amod
1799,brainiac_male,friend,other,good,ADJ,amod
1811,brainiac_male,life,other,is,VERB,nsubj
1861,brainiac_male,people,other,other,ADJ,amod
1862,brainiac_male,people,other,face,VERB,dobj
1873,brainiac_male,person,other,smartest,ADJ,amod
1886,brainiac_male,everyone,other,loved,VERB,nsubj
1950,brainiac_male,family,other,growing,VERB,amod
1998,brainiac_male,friends,other,help,VERB,dobj
2023,brainiac_male,kids,other,other,ADJ,amod
2024,brainiac_male,kids,other,could,VERB,nsubj
2045,brainiac_male,friends,other,come,VERB,nsubj
2108,brainiac_male,parents,other,believed,VERB,nsubj
2117,brainiac_male,parents,other,stumbled,VERB,nsubj
2137,brainiac_male,man,men,is,VERB,nsubj
